suburb,postcode,state,state_name,lat,lng
Kingsford,6701,WA,Western Australia,-24.86432,113.69548
Siesta Park,6280,WA,Western Australia,-33.65486,115.22586
Pannawonica,6716,WA,Western Australia,-21.6354,116.33567
Port Elliot,5212,SA,South Australia,-35.50538,138.67542
Hayborough,5211,SA,South Australia,-35.53199,138.64954
Middleton,5213,SA,South Australia,-35.48477,138.706
Goolwa North,5214,SA,South Australia,-35.48417,138.80874
Goolwa South,5214,SA,South Australia,-35.53297,138.83068
Goolwa,5214,SA,South Australia,-35.48913,138.7699
Milang,5256,SA,South Australia,-35.37991,138.95986
Willyaroo,5255,SA,South Australia,-35.28039,138.92038
Pukatja,872,SA,South Australia,-26.28253,132.13519
Mimili,872,SA,South Australia,-27.02399,132.70164
Iwantja,5724,SA,South Australia,-26.96951,133.30626
Amata,872,SA,South Australia,-26.15645,131.14449
Kaltjiti,872,SA,South Australia,-26.77307,132.02882
Penrice,5353,SA,South Australia,-34.47611,139.06552
Cockatoo Valley,5351,SA,South Australia,-34.62543,138.83766
Port Broughton,5522,SA,South Australia,-33.66268,137.95037
Berri,5343,SA,South Australia,-34.27533,140.6041
Thevenard,5690,SA,South Australia,-32.14607,133.65503
Ceduna,5690,SA,South Australia,-32.08556,133.61149
Smoky Bay,5680,SA,South Australia,-32.41259,133.8729
Clare,5453,SA,South Australia,-33.84143,138.6125
Riverton,5412,SA,South Australia,-34.16705,138.75334
Cleve,5640,SA,South Australia,-33.70837,136.51611
Arno Bay,5603,SA,South Australia,-33.89387,136.58322
Coober Pedy,5723,SA,South Australia,-28.89659,134.79704
Wallaroo,5556,SA,South Australia,-33.94035,137.62095
Matta Flat,5554,SA,South Australia,-33.97279,137.70682
Jerusalem,5554,SA,South Australia,-33.97596,137.71386
Wallaroo Mines,5554,SA,South Australia,-33.96696,137.69536
Moonta Bay,5558,SA,South Australia,-34.05418,137.57032
Moonta,5558,SA,South Australia,-34.06932,137.58582
Yelta,5558,SA,South Australia,-34.06497,137.61798
New Town,5554,SA,South Australia,-33.95569,137.68991
Port Hughes,5558,SA,South Australia,-34.08159,137.55691
North Beach,5556,SA,South Australia,-33.90432,137.63015
North Moonta,5558,SA,South Australia,-34.05396,137.59252
Jericho,5554,SA,South Australia,-33.96636,137.68432
Cross Roads,5558,SA,South Australia,-34.05639,137.61014
Cowell,5602,SA,South Australia,-33.74654,136.84436
Eudunda,5374,SA,South Australia,-34.17215,139.10929
American River,5221,SA,South Australia,-35.77953,137.77264
Penneshaw,5222,SA,South Australia,-35.72869,137.94005
Kingscote,5223,SA,South Australia,-35.65018,137.60668
Brownlow Ki,5223,SA,South Australia,-35.67281,137.6077
Kimba,5641,SA,South Australia,-33.1327,136.41131
Pinks Beach,5275,SA,South Australia,-36.86909,139.81914
Kingston Se,5275,SA,South Australia,-36.84164,139.91172
Wyomi,5275,SA,South Australia,-36.85723,139.82993
Rosetown,5275,SA,South Australia,-36.81986,139.85743
Wudinna,5652,SA,South Australia,-33.05311,135.46121
Cummins,5631,SA,South Australia,-34.27422,135.63368
Boston,5607,SA,South Australia,-34.69017,135.82999
Loxton,5333,SA,South Australia,-34.471,140.57518
Webb Beach,5501,SA,South Australia,-34.4481,138.26155
Parham,5501,SA,South Australia,-34.42957,138.25896
Dublin,5501,SA,South Australia,-34.46331,138.34834
Port Mannum,5238,SA,South Australia,-34.92535,139.30346
Marks Landing,5354,SA,South Australia,-34.57803,139.5883
Bolto,5238,SA,South Australia,-34.91381,139.31716
Mount Gambier,5290,SA,South Australia,-37.82633,140.78064
Murray Bridge,5253,SA,South Australia,-35.12941,139.26648
Riverglades,5253,SA,South Australia,-35.09986,139.30092
Murray Bridge East,5253,SA,South Australia,-35.1178,139.3114
Avoca Dell,5253,SA,South Australia,-35.09129,139.312
Northern Heights,5253,SA,South Australia,-35.10241,139.25839
Long Flat,5253,SA,South Australia,-35.13146,139.30547
Mobilong,5253,SA,South Australia,-35.10201,139.27774
Spalding,5454,SA,South Australia,-33.49472,138.62278
Gladstone,5473,SA,South Australia,-33.28252,138.3547
Jamestown,5491,SA,South Australia,-33.16666,138.59048
Orroroo,5431,SA,South Australia,-32.69708,138.68791
Peterborough,5422,SA,South Australia,-32.96939,138.84885
Port Augusta,5700,SA,South Australia,-32.49528,137.78833
Port Pirie,5540,SA,South Australia,-33.17072,138.01056
Risdon Park,5540,SA,South Australia,-33.19488,137.97085
Port Pirie South,5540,SA,South Australia,-33.20976,138.02646
Port Pirie West,5540,SA,South Australia,-33.16023,137.96561
Solomontown,5540,SA,South Australia,-33.18248,138.03186
Risdon Park South,5540,SA,South Australia,-33.21706,137.97465
Pirie East,5540,SA,South Australia,-33.26087,137.99082
Renmark,5341,SA,South Australia,-34.16293,140.74996
Robe,5276,SA,South Australia,-37.21525,139.81945
Roxby Downs,5725,SA,South Australia,-30.54892,136.88377
Streaky Bay,5680,SA,South Australia,-32.83702,134.22044
Keith,5267,SA,South Australia,-36.14341,140.34262
Tintinara,5266,SA,South Australia,-35.87447,140.03342
Coonalpyn,5265,SA,South Australia,-35.66276,139.86929
Tailem Bend,5260,SA,South Australia,-35.28111,139.48908
Meningie,5264,SA,South Australia,-35.73038,139.33464
Encounter Bay,5211,SA,South Australia,-35.57111,138.59613
Victor Harbor,5211,SA,South Australia,-35.55142,138.61792
McCracken,5211,SA,South Australia,-35.53562,138.63024
Balaklava,5461,SA,South Australia,-34.14402,138.43675
Port Wakefield,5550,SA,South Australia,-34.1947,138.178
Penola,5277,SA,South Australia,-37.39426,140.88272
Nangwarry,5277,SA,South Australia,-37.53853,140.88308
Kalangadoo,5278,SA,South Australia,-37.53751,140.70104
Millicent,5280,SA,South Australia,-37.60433,140.33426
Whyalla Norrie,5608,SA,South Australia,-33.02683,137.54112
Whyalla Jenkins,5609,SA,South Australia,-33.02863,137.51034
Whyalla,5600,SA,South Australia,-33.03783,137.57663
Whyalla Playford,5600,SA,South Australia,-33.02899,137.56169
Whyalla Stuart,5608,SA,South Australia,-33.03095,137.51665
Davenport,5700,SA,South Australia,-32.47178,137.7906
Stansbury,5582,SA,South Australia,-34.88845,137.75777
Edithburgh,5583,SA,South Australia,-35.09975,137.72357
Point Turton,5575,SA,South Australia,-34.94551,137.34936
Leigh Creek,5731,SA,South Australia,-30.59392,138.3809
Normanville,5204,SA,South Australia,-35.46526,138.30408
Minlaton,5575,SA,South Australia,-34.80598,137.5576
Ardrossan,5571,SA,South Australia,-34.43828,137.90808
Port Vincent,5581,SA,South Australia,-34.7794,137.82423
Yorketown,5576,SA,South Australia,-34.99328,137.6089
Coobowie,5583,SA,South Australia,-35.04199,137.72597
Carrickalinga,5204,SA,South Australia,-35.42459,138.3471
Myponga,5202,SA,South Australia,-35.40283,138.47689
Woomera,5720,SA,South Australia,-31.16685,136.81638
Maitland,5573,SA,South Australia,-34.35284,137.68818
Mullaquana,5601,SA,South Australia,-33.05805,137.53237
Warooka,5577,SA,South Australia,-35.01665,137.32741
Andamooka,5722,SA,South Australia,-30.4537,137.16503
Aldgate,5154,SA,South Australia,-35.01812,138.73708
Mylor,5153,SA,South Australia,-35.04777,138.75911
Bridgewater,5155,SA,South Australia,-35.01458,138.76985
Crafers,5152,SA,South Australia,-34.98536,138.71647
Stirling,5152,SA,South Australia,-35.00237,138.72385
Upper Sturt,5156,SA,South Australia,-35.0242,138.67728
Crafers West,5152,SA,South Australia,-34.99419,138.68167
Heathfield,5153,SA,South Australia,-35.02552,138.71921
